K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100
23,66,67,37.71,512,156,328,,0,37,35,50.36,251,72,349,,1,40,80,63.06,442,121,365,,36,86,40,90.14,490,162,302
3,41,81,37.96,453,125,362,,15,35,36,50.63,279,86,324,,23,59,4,63.13,239,86,278,,21,17,21,90.19,177,59,300
11,74,52,38.38,452,137,330,,0,48,28,50.67,256,76,337,,0,63,28,63.14,301,91,331,,0,0,50,90.42,200,50,400
19,55,71,39.12,487,145,336,,0,41,48,50.7,315,89,354,,6,38,32,63.19,254,76,334,,0,26,64,90.7,334,90,371
8,38,44,39.45,306,90,340,,4,39,38,50.73,277,81,342,,6,28,48,63.34,288,82,351,,,,,,,,
15,54,5,39.52,212,74,286,,4,54,32,50.86,298,90,331,,0,50,0,63.4,150,50,300,,,,,,,,
4,56,23,39.8,268,83,323,,4,41,42,50.93,299,87,344,,52,10,18,63.41,206,80,258,,,,,,,,
29,84,55,39.82,530,168,315,,0,34,56,51.01,326,90,362,,4,19,67,63.49,333,90,370,,,,,,,,
47,34,64,39.95,452,145,312,,17,25,63,51.01,361,105,344,,0,48,28,63.51,256,76,337,,,,,,,,
,,,,,,,,9,22,26,51.03,188,57,330,,8,23,4,63.56,101,35,289,,,,,,,,
,,,,,,,,10,64,16,51.19,276,90,307,,2,8,56,63.58,252,66,382,,,,,,,,
,,,,,,,,2,40,16,51.2,188,58,324,,33,87,29,63.59,443,149,297,,,,,,,,
,,,,,,,,50,41,39,51.23,379,130,292,,0,58,18,63.63,246,76,324,,,,,,,,
,,,,,,,,0,14,50,51.28,242,64,378,,0,66,0,63.7,198,66,300,,,,,,,,
,,,,,,,,2,36,40,51.4,272,78,349,,8,74,0,63.75,238,82,290,,,,,,,,
,,,,,,,,10,38,34,51.52,270,82,329,,0,58,8,63.77,206,66,312,,,,,,,,
,,,,,,,,52,22,8,51.52,202,82,246,,4,20,66,63.98,332,90,369,,,,,,,,
,,,,,,,,2,40,16,51.65,188,58,324,,2,8,56,64.04,252,66,382,,,,,,,,
,,,,,,,,2,27,51,51.67,289,80,361,,0,38,44,64.04,290,82,354,,,,,,,,
,,,,,,,,10,64,16,52,276,90,307,,4,41,42,64.06,299,87,344,,,,,,,,
,,,,,,,,22,2,70,52.08,330,94,351,,0,61,38,64.11,335,99,338,,,,,,,,
,,,,,,,,0,30,41,52.11,254,71,358,,10,57,23,64.11,283,90,314,,,,,,,,
,,,,,,,,0,57,24,52.12,267,81,330,,8,74,0,64.29,238,82,290,,,,,,,,
,,,,,,,,39,4,50,52.19,290,93,312,,7,65,9,64.4,245,81,302,,,,,,,,
,,,,,,,,12,10,28,52.27,166,50,332,,52,10,18,64.5,206,80,258,,,,,,,,
,,,,,,,,8,44,23,52.27,240,75,320,,0,0,77,64.54,308,77,400,,,,,,,,
,,,,,,,,18,66,76,52.34,538,160,336,,0,58,8,64.81,206,66,312,,,,,,,,
,,,,,,,,0,52,24,52.36,252,76,332,,18,42,30,64.9,282,90,313,,,,,,,,
,,,,,,,,0,50,0,52.71,150,50,300,,35,79,34,65.07,443,148,299,,,,,,,,
,,,,,,,,0,8,69,52.77,300,77,390,,10,12,52,65.4,264,74,357,,,,,,,,
,,,,,,,,10,30,28,52.86,222,68,326,,0,0,50,65.41,200,50,400,,,,,,,,
,,,,,,,,50,22,21,52.89,250,93,269,,49,12,10,65.42,174,71,245,,,,,,,,
,,,,,,,,0,58,18,53,246,76,324,,2,30,58,65.77,326,90,362,,,,,,,,
,,,,,,,,0,30,41,53.01,254,71,358,,0,90,0,65.8,270,90,300,,,,,,,,
,,,,,,,,0,74,0,53.03,222,74,300,,8,52,30,65.91,292,90,324,,,,,,,,
,,,,,,,,49,2,35,53.04,244,86,284,,11,73,38,65.92,393,122,322,,,,,,,,
,,,,,,,,0,61,38,53.06,335,99,338,,47,52,77,65.93,558,176,317,,,,,,,,
,,,,,,,,0,0,77,53.26,308,77,400,,12,6,61,66.01,286,79,362,,,,,,,,
,,,,,,,,0,10,80,53.29,350,90,389,,0,0,50,66.17,200,50,400,,,,,,,,
,,,,,,,,0,14,60,53.34,282,74,381,,0,50,0,66.27,150,50,300,,,,,,,,
,,,,,,,,0,8,82,53.37,352,90,391,,6,17,60,66.3,303,83,365,,,,,,,,
,,,,,,,,12,38,30,53.51,258,80,323,,1,35,15,66.3,167,51,327,,,,,,,,
,,,,,,,,18,35,14,53.55,197,67,294,,22,0,52,66.41,252,74,341,,,,,,,,
,,,,,,,,4,2,58,53.56,246,64,384,,2,48,0,66.57,148,50,296,,,,,,,,
,,,,,,,,0,8,82,53.62,352,90,391,,0,4,46,66.74,196,50,392,,,,,,,,
,,,,,,,,0,50,0,53.7,150,50,300,,14,76,49,66.74,452,139,325,,,,,,,,
,,,,,,,,0,50,0,53.86,150,50,300,,4,27,59,66.88,325,90,361,,,,,,,,
