K1,K2,K3,average,difficulty,,,output,,,,,,
0,50,0,85.99,150,300,"150,85.99,",39.30935,,,,,,
0,6,70,62.87,298,392,"298,62.87,",56.996832,,,,,,
10,30,28,49.78,222,326,"222,49.78,",52.417534,,,,,,
0,58,8,63.77,206,312,"206,63.77,",51.57367,,,,,,
0,10,80,88.81,350,389,"350,88.81,",67.61011,,,,,,
2,12,62,77.42,288,379,"288,77.42,",57.323138,,,,,,
0,50,0,71.57,150,300,"150,71.57,",39.30935,,,,,,
0,6,70,61.29,298,392,"298,61.29,",56.996832,,,,,,
10,30,28,52.86,222,326,"222,52.86,",52.417534,,,,,,
0,58,8,64.81,206,312,"206,64.81,",51.57367,,,,,,
0,10,80,85.79,350,389,"350,85.79,",67.61011,,,,,,
2,12,62,77.97,288,379,"288,77.97,",57.323138,,,,,,
0,50,0,59.23,150,300,"150,59.23,",39.30935,,,,,,
10,20,40,57.47,240,343,"240,57.47,",53.5179,,,,,,
6,38,32,63.19,254,334,"254,63.19,",58.526426,,,,,,
12,11,59,53.93,293,357,"293,53.93,",62.216432,,,,,,
0,54,36,56.14,306,340,"306,56.14,",69.340806,,,,,,
0,50,0,86.9,150,300,"150,86.9,",39.30935,,,,,,
10,20,40,56.04,240,343,"240,56.04,",53.5179,,,,,,
6,38,32,60.25,254,334,"254,60.25,",58.526426,,,,,,
12,11,59,57.24,293,357,"293,57.24,",62.216432,,,,,,
0,54,36,58.2,306,340,"306,58.2,",69.340806,,,,,,
0,50,0,79.45,150,300,"150,79.45,",39.30935,,,,,,
0,20,52,57.93,268,372,"268,57.93,",54.560096,,,,,,
4,34,36,58.2,254,343,"254,58.2,",56.785082,,,,,,
10,12,52,58.98,264,357,"264,58.98,",56.19064,,,,,,
0,36,54,58.2,324,360,"324,58.2,",68.632794,,,,,,
0,50,0,66.27,150,300,"150,66.27,",39.30935,,,,,,
0,20,52,57.82,268,372,"268,57.82,",54.560096,,,,,,
4,34,36,67.93,254,343,"254,67.93,",56.785082,,,,,,
